name,latitude,longitude,type,rating,comment,status
Seth Low Playground/ Bealin Square,40.60753207,-73.98659181,F High Low,N/A,"F High Low, Out in Open",Active
Robert Moses Playground,40.74808719,-73.96862766,C,N/A,"C, In Playground",Active
Chelsea Park,40.75003603,-74.00036316,D,N/A,"D, Under Tree, Near Ballfield, Just Outside Playground",Active
John V. Lindsay East River Park,40.72386197,-73.97290102,D,N/A,"D, Just Outside Playground, Near Ballfield",Active
Charlie's Place,40.69933444,-73.94639259,C,N/A,"C, In Shade, In Playground",Active
Maria Hernandez Park,40.70314863,-73.92412002,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Forest Park,40.70989105,-73.83541216,CS Concrete,N/A,"CS Concrete, Just Outside Playground",Active
Kissena Corridor Park,40.74900916,-73.8218903,C,N/A,"C, Out in Open",Active
Flushing Meadows Corona Park,40.74628272,-73.85043591,A,N/A,"A, Under Tree",Active
Beach 17 Playground,40.5941163,-73.75035291,D,N/A,"D, Out in Open",Active
Richmond Parkway,40.53206049,-74.19801006,C,N/A,"C, Just Outside Playground",Active
Leif Ericson Park,40.63058253,-74.01152114,C,N/A,"C, In Playground",Active
Inwood Hill Park,40.87145657,-73.9214983,A,N/A,"A, Near Ballfield",Active
John V. Lindsay East River Park,40.71743507,-73.97478961,C,N/A,"C, Under Tree, Near Ballfield",Active
Butterfly Gardens,40.66020126,-73.98647089,C,N/A,"C, In Shade",Active
Lion's Pride Playground,40.66257799,-73.89967168,C,N/A,"C, In Playground",Active
Greenpoint Playground,40.7356118,-73.95910815,A,N/A,"A, In Playground, Under Tree",Active
Prospect Park,40.66605941,-73.9715264,A,N/A,"A, Out in Open",Active
Pelham Bay Park,40.86247675,-73.79419099,A,N/A,"A, Out in Open",Active
La Guardia Playground,40.71052793,-73.95984132,D,N/A,"D, In Playground, Under Tree",Active
Coney Island Beach & Boardwalk,40.57526978,-73.95895649,E,N/A,"E, Out in Open",Active
Corlears Hook Park,40.71120324,-73.9803807,C,N/A,"C, Under Tree, Near Ballfield, Just Outside Playground",Active
Beach 30th Street Playground,40.59254717,-73.7627501,D,N/A,"D, In Shade",Active
Van Cortlandt Park,40.8959329,-73.87824711,A,N/A,"A, Near Ballfield",Active
Astoria Park,40.78027032,-73.91959307,A,N/A,"A, Out in Open, Under Tree, In Shade",Active
Franklin D. Roosevelt Boardwalk and Beach,40.59243803,-74.06301213,D,N/A,"D, Just Outside Playground",Active
McKinley Park,40.62755186,-74.01715712,A,N/A,"A, Out in Open",Active
Harvey Park,40.78279288,-73.82374653,D,N/A,"D, In Playground",Active
Belmont Playground,40.67562011,-73.86301306,C,N/A,"C, In Playground",Active
Sutter Ballfields,40.6706443,-73.88755759,C,N/A,"C, Out in Open, Near Ballfield",Active
Fort Greene Park,40.69064605,-73.97533595,B,N/A,"B, Out in Open",Active
Mullaly Park,40.83308927,-73.92349974,C,N/A,"C, Near Ballfield",Active
Lincoln Terrace / Arthur S. Somers Park,40.66672123,-73.92548853,D,N/A,"D, Under Tree",Active
D'Emic Playground,40.65596669,-74.00463997,A,N/A,"A, In Playground",Active
Flushing Meadows Corona Park,40.74762632,-73.84708768,A,N/A,"A, Under Tree",Active
Baisley Pond Park,40.67789882,-73.78251681,C,N/A,"C, Out in Open, Under Tree",Active
Detective Keith L Williams Park,40.70388754,-73.78533068,A,N/A,"A, Out in Open",Active
Midland Playground,40.57485205,-74.09837442,A,N/A,"A, In Playground",Active
Owl's Head Park,40.63981948,-74.0309829,A,N/A,"A, Just Outside Playground",Active
The High Line,40.75215624,-74.00193075,Other,N/A,"Other, Out in Open",Active
Curtis Playground,40.64075061,-73.9174755,E Wheelchair,N/A,"E Wheelchair, Under Tree, In Shade, In Playground",Active
Castle Hill Playground,40.83895912,-73.85288308,C,N/A,"C, In Playground, In Shade, Under Tree",Active
Lieutenant John H. Martinson Playground,40.53706901,-74.1626512,C,N/A,"C, In Playground",Active
